Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
"MacBook Pro 16-inch (M4 Max, 2024)",https://www.gadgets360.com/macbook-pro-16-inch-m4-max-2024-price-in-india-129085,"₹ 349,900",16.20-inch,2234x3456 pixels,Apple M4,macOS,1TB,2.14 kg
"MacBook Pro 14-inch (M4 Pro, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-pro-2024-price-in-india-129084,"₹ 199,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,512GB,1.55 kg
"MacBook Pro 14-inch (M4 Max, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-max-2024-price-in-india-129083,"₹ 319,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,1TB,1.55 kg
"MacBook Pro 16-inch (M4 Pro, 2024)",https://www.gadgets360.com/macbook-pro-16-inch-m4-2024-price-in-india-129082,"₹ 249,900",16.20-inch,2234x3456 pixels,Apple M4 Pro,macOS,512GB,2.14 kg
"MacBook Pro 14-inch (M4, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-2024-price-in-india-129081,"₹ 169,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,512GB,1.55 kg
Infinix Inbook Air Pro+,https://www.gadgets360.com/infinix-inbook-air-pro-plus-price-in-india-128917,"₹ 49,900",14.00-inch,2880x1800 pixels,Core i5,Windows 11,N/A,N/A
Acer Predator Helios Neo 14,https://www.gadgets360.com/acer-predator-helios-neo-14-price-in-india-128638,"₹ 139,999",14.50-inch,1920x1200 pixels,Intel Core Ultra 7,Windows 11,1TB,N/A
Asus Zenbook S 14,https://www.gadgets360.com/zenbook-s-14-price-in-india-129099,"₹ 142,990",14.00-inch,1800x2880 pixels,Intel Core Ultra 7,Windows 11,512GB,N/A
Acer Aspire 7 (2024),https://www.gadgets360.com/acer-aspire-7-2024-price-in-india-128296,"₹ 61,990",15.60-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A
Lenovo Yoga Pro 7,https://www.gadgets360.com/lenovo-lenovo-yoga-pro-7-price-in-india-128173,N/A,14.50-inch,2880x1800 pixels,Ryzen 9,Windows 11,1TB,N/A
MSI Creator A16 AI+,https://www.gadgets360.com/msi-creator-a16-ai-plus-price-in-india-128162,"₹ 307,990",16.00-inch,2560x1600 pixels,Ryzen 9,Windows 11,N/A,N/A
MSI Prestige A16 AI+,https://www.gadgets360.com/msi-prestige-a16-ai-plus-price-in-india-128161,"₹ 149,990",16.00-inch,2560x1600 pixels,Ryzen 9,Windows 11,N/A,N/A
MSI Summit A16 AI+,https://www.gadgets360.com/msi-summit-a16-ai-plus-price-in-india-128160,"₹ 173,990",16.00-inch,2560x1600 pixels,Ryzen 9,Windows 11,N/A,N/A
MSI Stealth A16 AI+,https://www.gadgets360.com/msi-stealth-a16-ai-plus-price-in-india-128159,"₹ 232,990",16.00-inch,2560x1600 pixels,Ryzen 9,Windows 11,N/A,N/A
MSI Prestige 13 AI+ Evo,https://www.gadgets360.com/msi-prestige-13-ai-plus-evo-price-in-india-128158,"₹ 144,990",13.30-inch,2880x1800 pixels,Intel Core Ultra 9,Windows 11,N/A,N/A
MSI Prestige 14 AI+ Evo,https://www.gadgets360.com/msi-prestige-14-ai-plus-evo-price-in-india-128150,"₹ 131,990",14.00-inch,1920x1200 pixels,Intel Core Ultra 9,Windows 11,N/A,N/A
MSI Prestige 16 AI+ Evo,https://www.gadgets360.com/msi-prestige-16-ai-plus-evo-price-in-india-128149,"₹ 156,990",16.00-inch,2560x1600 pixels,Intel Core Ultra 9,Windows 11,N/A,N/A
MSI Summit 13 AI+ Evo,https://www.gadgets360.com/msi-summit-13-ai-plus-evo-price-in-india-128148,"₹ 167,990",13.30-inch,1920x1200 pixels,Intel Core Ultra 7,Windows 11,N/A,N/A
"Asus ProArt PZ13 (2024, Copilot+)",https://www.gadgets360.com/asus-proart-pz13-2024-copilot-plus-price-in-india-128120,N/A,13.30-inch,2880x1800 pixels,Snapdragon X Plus,Windows 11,N/A,N/A
Asus Zenbook S 16 OLED,https://www.gadgets360.com/asus-zenbook-s-16-oled-price-in-india-127894,"₹ 149,990",16.00-inch,2880x1800 pixels,Ryzen 9,Windows 11,1TB,N/A
Asus Vivobook S 14 OLED,https://www.gadgets360.com/asus-vivobook-s-14-oled-price-in-india-127893,"₹ 124,990",14.00-inch,2880x1800 pixels,Ryzen 9,Windows 11,512GB,1.30 kg
Asus ProArt PX13,https://www.gadgets360.com/asus-proart-px13-price-in-india-127892,"₹ 179,990",13.30-inch,N/A,Ryzen 9,Windows 11,1TB,N/A
