Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight,Detailed Specs
"MacBook Pro 16-inch (M4 Max, 2024)",https://www.gadgets360.com/macbook-pro-16-inch-m4-max-2024-price-in-india-129085,"₹ 349,900",16.20-inch,2234x3456 pixels,Apple M4,macOS,1TB,2.14 kg,"{'Brand': 'Apple', 'Model': 'MacBook Pro 16-inch (M4 Max, 2024)', 'Price in India': '₹3,49,900', 'Release date': '30th October 2024', 'Launched in India': 'Yes', 'Dimensions (mm)': '248.10 x 355.70 x 16.80', 'Weight (kg)': '2.14', 'Colours': 'Silver, Space Black', 'Operating system': 'macOS', 'Battery Life (up to hours)': '24', 'Battery Capacity (WHR)': '100', 'Size': '16.20-inch', 'Resolution': '2234x3456 pixels', 'Refresh Rate': '120Hz', 'Processor': 'Apple Apple M4', 'RAM': '36GB', 'SSD': '1TB', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.3', 'Web Camera': '12-megapixel', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'Yes', 'USB 4.0 (Type C)': '3', 'Number of USB Ports': '3', 'HDMI Port': 'Yes', 'Multi Card Slot': 'SDXC Card Reader', 'Headphone and Mic Combo Jack': 'Yes'}"
"MacBook Pro 14-inch (M4 Pro, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-pro-2024-price-in-india-129084,"₹ 199,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,512GB,1.55 kg,"{'Brand': 'Apple', 'Model': 'MacBook Pro 14-inch (M4 Pro, 2024)', 'Price in India': '₹1,99,900', 'Release date': '30th October 2024', 'Launched in India': 'Yes', 'Dimensions (mm)': '221.20 x 312.60 x 15.50', 'Weight (kg)': '1.55', 'Colours': 'Silver, Space Black', 'Operating system': 'macOS', 'Battery Life (up to hours)': '24', 'Battery Capacity (WHR)': '72.4', 'Size': '14.20-inch', 'Resolution': '1964x3024 pixels', 'Refresh Rate': '120Hz', 'Processor': 'Apple Apple M4', 'RAM': '24GB', 'SSD': '512GB', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.3', 'Web Camera': '12-megapixel', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'Yes', 'USB 4.0 (Type C)': '3', 'Number of USB Ports': '3', 'HDMI Port': 'Yes', 'Multi Card Slot': 'SDXC Card Reader', 'Headphone and Mic Combo Jack': 'Yes'}"
"MacBook Pro 14-inch (M4 Max, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-max-2024-price-in-india-129083,"₹ 319,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,1TB,1.55 kg,"{'Brand': 'Apple', 'Model': 'MacBook Pro 14-inch (M4 Max, 2024)', 'Price in India': '₹3,19,900', 'Release date': '30th October 2024', 'Launched in India': 'Yes', 'Dimensions (mm)': '221.20 x 312.60 x 15.50', 'Weight (kg)': '1.55', 'Colours': 'Silver, Space Black', 'Operating system': 'macOS', 'Battery Life (up to hours)': '24', 'Battery Capacity (WHR)': '72.4', 'Size': '14.20-inch', 'Resolution': '1964x3024 pixels', 'Refresh Rate': '120Hz', 'Processor': 'Apple Apple M4', 'RAM': '36GB', 'SSD': '1TB', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.3', 'Web Camera': '12-megapixel', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'Yes', 'USB 4.0 (Type C)': '3', 'Number of USB Ports': '3', 'HDMI Port': 'Yes', 'Multi Card Slot': 'SDXC Card Reader', 'Headphone and Mic Combo Jack': 'Yes'}"
"MacBook Pro 16-inch (M4 Pro, 2024)",https://www.gadgets360.com/macbook-pro-16-inch-m4-2024-price-in-india-129082,"₹ 249,900",16.20-inch,2234x3456 pixels,Apple M4 Pro,macOS,512GB,2.14 kg,"{'Brand': 'Apple', 'Model': 'MacBook Pro 16-inch (M4 Pro, 2024)', 'Price in India': '₹2,49,900', 'Release date': '30th October 2024', 'Launched in India': 'Yes', 'Dimensions (mm)': '248.10 x 355.70 x 16.80', 'Weight (kg)': '2.14', 'Colours': 'Silver, Space Black', 'Operating system': 'macOS', 'Battery Life (up to hours)': '24', 'Battery Capacity (WHR)': '100', 'Size': '16.20-inch', 'Resolution': '2234x3456 pixels', 'Refresh Rate': '120Hz', 'Processor': 'Apple Apple M4 Pro', 'RAM': '24GB', 'SSD': '512GB', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.3', 'Web Camera': '12-megapixel', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'Yes', 'USB 4.0 (Type C)': '3', 'Number of USB Ports': '3', 'HDMI Port': 'Yes', 'Multi Card Slot': 'SDXC Card Reader', 'Headphone and Mic Combo Jack': 'Yes'}"
"MacBook Pro 14-inch (M4, 2024)",https://www.gadgets360.com/macbook-pro-14-inch-m4-2024-price-in-india-129081,"₹ 169,900",14.20-inch,1964x3024 pixels,Apple M4,macOS,512GB,1.55 kg,"{'Brand': 'Apple', 'Model': 'MacBook Pro 14-inch (M4, 2024)', 'Price in India': '₹1,69,900', 'Release date': '30th October 2024', 'Launched in India': 'Yes', 'Dimensions (mm)': '221.20 x 312.60 x 15.50', 'Weight (kg)': '1.55', 'Colours': 'Silver, Space Black', 'Operating system': 'macOS', 'Battery Life (up to hours)': '24', 'Battery Capacity (WHR)': '72.4', 'Size': '14.20-inch', 'Resolution': '1964x3024 pixels', 'Refresh Rate': '120Hz', 'Processor': 'Apple Apple M4', 'RAM': '16GB', 'SSD': '512GB', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.3', 'Web Camera': '12-megapixel', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Yes', 'Finger Print Sensor': 'Yes', 'USB 4.0 (Type C)': '3', 'Number of USB Ports': '3', 'HDMI Port': 'Yes', 'Multi Card Slot': 'SDXC Card Reader', 'Headphone and Mic Combo Jack': 'Yes'}"
Infinix Inbook Air Pro+,https://www.gadgets360.com/infinix-inbook-air-pro-plus-price-in-india-128917,"₹ 49,900",14.00-inch,2880x1800 pixels,Core i5,Windows 11,N/A,N/A,"{'Brand': 'Infinix', 'Model': 'Inbook Air Pro+', 'Price in India': '₹49,900', 'Release date': '17th October 2024', 'Launched in India': 'Yes', 'Model Name': 'Air Pro+', 'Series': 'Inbook', 'Thickness': '4.5', 'Weight (kg)': '1', 'Colours': 'Brown, Silver', 'Operating system': 'Windows 11', 'Battery Capacity (WHR)': '57', 'Size': '14.00-inch', 'Resolution': '2880x1800 pixels', 'Touch Screen': 'No', 'Refresh Rate': '120Hz', 'Processor': 'Intel Core i5 13th Gen 1334U', 'Burst Clock Speed': '4.6 GHz', 'Cache': '12MB', 'RAM': '16GB', 'Dedicated Graphics': 'No', 'Graphics Processor': 'Intel Iris Xe', 'Hard disk': 'No', 'SSD': '512GB', 'Wi-Fi 7': 'No', '5G': 'No', '4G LTE': 'No', 'Wi-Fi standards supported': '802.11 ax', 'Bluetooth version': '5.2', 'Web Camera': 'Yes', 'Pointer Device': 'Touchpad', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Speakers': 'Yes', 'Number of USB Ports': '2', 'USB 3.2 Gen 1 (Type A)': '1', 'HDMI Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes'}"
Acer Predator Helios Neo 14,https://www.gadgets360.com/acer-predator-helios-neo-14-price-in-india-128638,"₹ 139,999",14.50-inch,1920x1200 pixels,Intel Core Ultra 7,Windows 11,1TB,N/A,"{'Brand': 'Acer', 'Model': 'Predator Helios Neo 14', 'Price in India': '₹1,39,999', 'Release date': '3rd October 2024', 'Launched in India': 'Yes', 'Model Name': 'Acer Predator Helios Neo 14', 'Series': 'Acer Predator', 'Dimensions (mm)': '255.30 x 324.20 x 20.90', 'Weight (kg)': '1.9', 'Colours': 'Black', 'Operating system': 'Windows 11', 'Battery Capacity (WHR)': '76', 'Battery Cell': '4', 'Size': '14.50-inch', 'Resolution': '1920x1200 pixels', 'Refresh Rate': '120Hz', 'RAM': '16GB', 'Dedicated Graphics': 'Yes', 'Graphics Processor': 'Nvidia GeForce RTX 4050', 'Dedicated Graphic Memory': '6GB', 'Dedicated Graphic Memory Type': 'GDDR6', 'SSD': '1TB', 'Bluetooth version': '5.3', 'Web Camera': '1080p', 'Pointer Device': 'Yes', 'Backlit Keyboard': 'Yes', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Stereo Speakers', 'USB 4.0 (Type C)': '1', 'USB 3.2 Gen 2 (Type C)': '2', 'Thunderbolt 4 (Type C)': '1', 'HDMI Port': 'Yes'}"
Asus Zenbook S 14,https://www.gadgets360.com/zenbook-s-14-price-in-india-129099,"₹ 142,990",14.00-inch,1800x2880 pixels,Intel Core Ultra 7,Windows 11,512GB,N/A,"{'Brand': 'Asus', 'Model': 'Zenbook S 14', 'Price in India': '₹1,42,990', 'Release date': '25th September 2024', 'Launched in India': 'Yes', 'Model Number': 'UX5406SA', 'Model Name': 'Asus Zenbook S 14', 'Series': 'Zenbook', 'Dimensions (mm)': '310.30 x 214.70 x 11.90', 'Weight (kg)': '1.20', 'Colours': 'Scandinavian White', 'Operating system': 'Windows 11', 'Battery Capacity (WHR)': '72', 'Size': '14.00-inch', 'Resolution': '1800x2880 pixels', 'Touch Screen': 'No', 'Refresh Rate': '120Hz', 'Processor': 'Intel Intel Core Ultra 7', 'RAM': '16GB', 'Expandable RAM up to (GB)': '32GB', 'Dedicated Graphics': 'No', 'Graphics Processor': 'Intel Arc', 'SSD': '512GB', 'Wi-Fi 7': 'Yes', 'Bluetooth version': '5.4', 'USB 3.2 Gen 2 (Type C)': '1', 'Thunderbolt 4 (Type C)': '2', 'HDMI Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes'}"
Acer Aspire 7 (2024),https://www.gadgets360.com/acer-aspire-7-2024-price-in-india-128296,"₹ 61,990",15.60-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A,"{'Brand': 'Acer', 'Model': 'Aspire 7 (2024)', 'Price in India': '₹61,990', 'Release date': '12th September 2024', 'Launched in India': 'Yes', 'Model Name': 'Acer Aspire 7', 'Dimensions (mm)': '238.00 x 359.50 x 22.70', 'Weight (kg)': '1.99', 'Colours': 'Steel Grey', 'Operating system': 'Windows 11', 'Battery Capacity (WHR)': '54', 'Battery Cell': '4', 'Size': '15.60-inch', 'Resolution': '1920x1080 pixels', 'Refresh Rate': '144Hz', 'Processor': 'Intel Core i5 13th Gen 13420H', 'RAM': '16GB', 'Dedicated Graphics': 'Yes', 'Graphics Processor': 'Nvidia GeForce RTX 2050', 'Dedicated Graphic Memory': '4GB', 'Dedicated Graphic Memory Type': 'GDDR6', 'SSD': '512GB', 'Bluetooth version': '5.2', 'Web Camera': 'Yes', 'Pointer Device': 'Yes', 'Backlit Keyboard': 'Yes', 'Internal Mic': 'Yes', 'Speakers': 'Stereo Speakers', 'USB Ports': '1 x USB 2.0', 'USB 3.2 Gen 1 (Type A)': '1', 'USB 3.2 Gen 2 (Type C)': '2', 'HDMI Port': 'Yes', 'RJ45 (LAN)': 'Yes'}"
Lenovo Yoga Pro 7,https://www.gadgets360.com/lenovo-lenovo-yoga-pro-7-price-in-india-128173,N/A,14.50-inch,2880x1800 pixels,Ryzen 9,Windows 11,1TB,N/A,"{'Brand': 'Lenovo', 'Model': 'Yoga Pro 7', 'Price in India': '₹162,000', 'Release date': '5th September 2024', 'Launched in India': 'No', 'Model Name': 'Lenovo Yoga Pro 7', 'Series': 'Yoga', 'Dimensions (mm)': '325.50 x 226.49 x 15.60', 'Weight (kg)': '1.54', 'Colours': 'Luna Grey', 'Operating system': 'Windows 11', 'Battery Capacity (WHR)': '73', 'Size': '14.50-inch', 'Resolution': '2880x1800 pixels', 'Touch Screen': 'No', 'Refresh Rate': '120Hz', 'Processor': 'AMD Ryzen 9 AMD Ryzen AI 9 365', 'RAM': '32GB', 'Dedicated Graphics': 'No', 'SSD': '1TB', 'Wi-Fi standards supported': '802.11 a/b/g/n/ac/ax', 'Bluetooth version': '5.3', 'Web Camera': 'Yes', 'Pointer Device': 'Touchpad', 'Touchpad': 'Yes', 'Internal Mic': 'Yes', 'Speakers': '4 Speakers', 'USB 4.0 (Type C)': '1', 'Number of USB Ports': '4', 'USB Ports': '2 x USB 3.1 Gen 2 (Type C)', 'USB 3.2 Gen 1 (Type A)': '1', 'HDMI Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes'}"
